FIPS,Asthma_Prevalence,County_Name,State_Code,Asthma_CI_Lower,Asthma_CI_Upper,Population
13157,10.2,Jackson,GA,9.0,11.4,83936
01075,10.7,Lamar,AL,9.3,12.1,13705
01097,10.9,Mobile,AL,9.7,12.3,411411
01085,12.0,Lowndes,AL,10.4,13.6,9777
02220,10.6,Sitka,AK,9.3,11.9,8382
06077,10.1,San Joaquin,CA,8.9,11.3,793229
05041,12.9,Desha,AR,11.3,14.5,10771
06057,11.0,Nevada,CA,9.7,12.4,102293
01007,10.8,Bibb,AL,9.5,12.3,22005
01021,10.1,Chilton,AL,8.9,11.5,45884
05057,11.7,Hempstead,AR,10.3,13.3,19453
05135,11.5,Sharp,AR,10.1,13.0,17810
05007,9.8,Benton,AR,8.6,11.1,302863
05011,11.6,Bradley,AR,10.2,13.1,10135
02164,12.5,Lake and Peninsula,AK,11.0,14.0,1381
05093,12.2,Mississippi,AR,10.7,13.9,38896
01037,10.9,Coosa,AL,9.7,12.3,10166
05097,11.2,Montgomery,AR,9.8,12.7,8556
01123,10.9,Tallapoosa,AL,9.5,12.3,40977
04021,11.1,Pinal,AZ,9.8,12.3,464154
01091,11.4,Marengo,AL,10.0,12.9,18745
05125,10.1,Saline,AR,8.9,11.5,127357
05109,11.1,Pike,AR,9.8,12.6,10179
06043,11.4,Mariposa,CA,10.0,12.8,17020
05025,11.6,Cleveland,AR,10.2,13.2,7467
06013,9.5,Contra Costa,CA,8.3,10.6,1156966
01023,11.4,Choctaw,AL,9.8,12.9,12439
01039,10.8,Covington,AL,9.5,12.3,37602
06097,10.3,Sonoma,CA,9.1,11.6,482650
01053,11.3,Escambia,AL,9.9,12.9,36666
02016,8.1,Aleutians West,AK,7.2,9.3,5122
06051,10.2,Mono,CA,9.0,11.5,12978
02100,10.2,Haines,AK,8.9,11.5,2056
01001,10.0,Autauga,AL,8.8,11.4,59759
05059,10.8,Hot Spring,AR,9.5,12.1,33203
01043,10.6,Cullman,AL,9.3,12.1,90665
06091,10.7,Sierra,CA,9.4,12.1,3217
05071,11.3,Johnson,AR,9.8,12.8,26001
05075,11.6,Lawrence,AR,10.2,13.1,16205
01105,12.5,Perry,AL,11.0,14.2,8035
06099,10.6,Stanislaus,CA,9.4,12.1,551275
06045,10.8,Mendocino,CA,9.5,12.2,89783
05091,11.8,Miller,AR,10.3,13.3,42552
01103,10.3,Morgan,AL,9.1,11.6,124211
01033,10.6,Colbert,AL,9.1,12.1,58033
01071,11.0,Jackson,AL,9.6,12.5,52891
01117,9.5,Shelby,AL,8.3,10.8,230115
05087,11.1,Madison,AR,9.7,12.5,17486
01005,11.2,Barbour,AL,9.8,12.6,24706
05121,11.6,Randolph,AR,10.2,13.0,18837
05023,11.4,Cleburne,AR,10.0,12.9,25284
05105,11.0,Perry,AR,9.7,12.5,10063
02060,11.5,Bristol Bay,AK,10.1,12.9,865
02275,11.1,Wrangell,AK,9.7,12.6,2070
02195,10.0,Petersburg,AK,8.8,11.3,3360
04009,10.8,Graham,AZ,9.5,12.3,38779
02240,10.4,Southeast Fairbanks,AK,9.2,11.7,7021
01051,10.4,Elmore,AL,9.2,11.9,89563
01121,11.5,Talladega,AL,10.1,13.1,80704
06089,11.2,Shasta,CA,9.9,12.6,180930
06085,8.5,Santa Clara,CA,7.5,9.5,1870945
01067,11.4,Henry,AL,9.9,12.9,17655
06047,11.1,Merced,CA,9.7,12.5,290014
06009,10.8,Calaveras,CA,9.5,12.2,46563
06093,11.4,Siskiyou,CA,10.0,12.8,43660
01111,10.9,Randolph,AL,9.5,12.4,22479
06017,10.0,El Dorado,CA,8.9,11.4,192646
05117,11.9,Prairie,AR,10.4,13.5,8069
01011,11.9,Bullock,AL,10.5,13.4,10202
04001,15.1,Apache,AZ,13.5,16.8,65432
01065,11.6,Hale,AL,10.2,13.1,14595
05101,11.4,Newton,AR,10.0,13.0,7078
02110,9.8,Juneau,AK,8.6,11.0,31685
01125,10.8,Tuscaloosa,AL,9.5,12.2,236780
01073,10.6,Jefferson,AL,9.3,11.9,665409
06055,10.1,Napa,CA,8.9,11.5,134300
05029,11.5,Conway,AR,10.1,13.1,21046
01133,10.2,Winston,AL,8.9,11.6,23755
01107,11.0,Pickens,AL,9.6,12.5,18697
01115,10.0,St. Clair,AL,8.7,11.3,93932
06039,10.8,Madera,CA,9.6,12.2,160256
02230,10.3,Skagway,AK,9.0,11.6,1081
06095,10.0,Solano,CA,8.9,11.4,448747
06005,10.5,Amador,CA,9.2,11.8,41412
01129,11.2,Washington,AL,9.8,12.7,15122
02130,10.5,Ketchikan Gateway,AK,9.3,11.9,13741
02198,12.0,Prince of Wales-Hyder,AK,10.5,13.5,5650
04005,11.1,Coconino,AZ,9.8,12.4,144060
05145,11.3,White,AR,10.0,12.8,77755
05139,11.0,Union,AR,9.6,12.4,37752
06053,10.4,Monterey,CA,9.2,11.8,432858
05017,11.7,Chicot,AR,10.3,13.2,9873
01003,9.9,Baldwin,AL,8.7,11.3,246435
05001,11.7,Arkansas,AR,10.3,13.3,16512
00059,9.9,,US,9.7,10.1,333287557
05129,11.6,Searcy,AR,10.3,13.2,7918
01069,11.2,Houston,AL,9.9,12.7,108079
06081,8.7,San Mateo,CA,7.7,9.8,729181
06001,8.9,Alameda,CA,7.9,10.1,1628997
02188,13.5,Northwest Arctic,AK,11.9,15.3,7423
05095,12.1,Monroe,AR,10.7,13.7,6564
05065,10.9,Izard,AR,9.6,12.3,14048
04012,11.5,La Paz,AZ,10.1,13.1,16506
05051,10.9,Garland,AR,9.6,12.4,100089
01059,10.6,Franklin,AL,9.3,12.0,31932
06063,10.7,Plumas,CA,9.4,12.1,19351
05047,11.2,Franklin,AR,9.8,12.7,17271
05061,11.2,Howard,AR,9.8,12.7,12557
05035,12.6,Crittenden,AR,11.2,14.2,47061
01055,11.0,Etowah,AL,9.6,12.4,103088
05031,11.2,Craighead,AR,9.8,12.7,113017
05111,12.2,Poinsett,AR,10.7,13.8,22495
06049,11.1,Modoc,CA,9.9,12.6,8511
01013,11.4,Butler,AL,10.0,13.0,18650
05099,11.8,Nevada,AR,10.4,13.4,8181
05077,11.6,Lee,AR,10.1,13.1,8364
05081,11.1,Little River,AR,9.7,12.7,11821
01017,11.5,Chambers,AL,10.1,13.0,34088
06035,10.7,Lassen,CA,9.5,12.1,29904
02066,10.8,Copper River,AK,9.5,12.3,2589
02122,10.0,Kenai Peninsula,AK,8.8,11.1,60690
06069,9.8,San Benito,CA,8.6,11.1,67579
06059,9.0,Orange,CA,8.0,10.1,3151184
01009,10.6,Blount,AL,9.3,12.0,59512
01079,11.2,Lawrence,AL,9.9,12.7,33214
01093,10.7,Marion,AL,9.3,12.1,29156
05141,11.5,Van Buren,AR,10.1,13.0,16102
