FIPS,County Name,State Name,State Code,PM25_Annual_Mean,PM25_Annual_Median,PM25_Std,PM25_Sample_Count,PM25_Annual_Max,PM25_Annual_Min,Data_Quality
01003,Baldwin,Alabama,1,7.691,6.9,4.114,681,29.2,0.4,Excellent
01027,Clay,Alabama,1,8.064,7.442,4.444,666,27.455,0.2,Excellent
01049,DeKalb,Alabama,1,8.938,8.3,4.738,715,26.838,0.6,Excellent
01055,Etowah,Alabama,1,9.843,9.375,4.896,699,31.0,0.8,Excellent
01073,Jefferson,Alabama,1,10.017,9.179,4.862,2041,37.096,1.8,Excellent
01089,Madison,Alabama,1,8.916,7.796,4.949,1636,49.304,1.3,Excellent
01097,Mobile,Alabama,1,8.845,8.308,4.147,698,23.358,0.025,Excellent
01101,Montgomery,Alabama,1,10.239,9.892,4.401,713,29.862,1.6,Excellent
01103,Morgan,Alabama,1,7.399,6.673,3.78,766,23.683,0.017,Excellent
01113,Russell,Alabama,1,9.385,8.2,5.258,272,30.2,1.5,Excellent
01119,Sumter,Alabama,1,5.907,4.992,4.502,654,26.867,0.038,Excellent
01125,Tuscaloosa,Alabama,1,8.069,7.4,4.525,670,25.783,0.1,Excellent
02020,Anchorage ,Alaska,2,4.34,3.375,3.369,751,19.5,0.042,Excellent
02090,Fairbanks North Star ,Alaska,2,9.479,4.9,14.615,1275,156.2,0.1,Excellent
02110,Juneau ,Alaska,2,4.957,3.9,3.742,1513,23.567,0.3,Excellent
02170,Matanuska-Susitna ,Alaska,2,4.381,2.7,4.652,658,35.833,0.083,Excellent
04001,Apache,Arizona,4,2.684,2.5,1.268,107,6.0,0.5,Good
04012,La Paz,Arizona,4,2.832,2.4,2.489,610,16.542,0.042,Excellent
04013,Maricopa,Arizona,4,7.981,6.421,5.85,6627,95.262,0.1,Excellent
04019,Pima,Arizona,4,6.383,6.0,2.798,2213,18.583,0.2,Excellent
04021,Pinal,Arizona,4,6.933,5.5,5.104,2054,53.304,0.027,Excellent
04023,Santa Cruz,Arizona,4,7.636,6.2,5.703,765,53.5,0.2,Excellent
04027,Yuma,Arizona,4,7.996,6.8,5.996,704,60.292,0.8,Excellent
05001,Arkansas,Arkansas,5,8.656,8.0,4.621,120,24.9,1.1,Good
05003,Ashley,Arkansas,5,8.783,7.8,4.834,118,38.0,0.6,Good
05035,Crittenden,Arkansas,5,8.792,8.4,3.91,121,19.9,2.4,Good
05051,Garland,Arkansas,5,8.898,8.5,4.025,127,17.8,1.0,Good
05067,Jackson,Arkansas,5,8.98,8.0,5.132,120,30.5,1.6,Good
05113,Polk,Arkansas,5,8.765,8.35,4.502,120,31.1,1.2,Good
05119,Pulaski,Arkansas,5,11.219,9.641,6.579,1857,35.492,0.6,Excellent
05139,Union,Arkansas,5,9.829,9.1,4.79,119,35.9,3.0,Good
05143,Washington,Arkansas,5,7.674,7.0,3.627,95,18.9,0.2,Good
06001,Alameda,California,6,7.036,5.8,4.884,3731,47.174,0.3,Excellent
06007,Butte,California,6,7.941,7.292,5.146,699,35.417,0.5,Excellent
06009,Calaveras,California,6,5.58,4.888,3.768,716,29.375,0.4,Excellent
06011,Colusa,California,6,9.816,9.704,5.332,1206,34.383,0.6,Excellent
06013,Contra Costa,California,6,7.992,6.8,4.881,1549,39.375,0.4,Excellent
06019,Fresno,California,6,9.509,7.623,7.511,4368,51.375,0.017,Excellent
06023,Humboldt,California,6,13.222,7.042,25.465,415,224.542,0.5,Excellent
06025,Imperial,California,6,8.817,7.9,5.864,1965,64.57,0.1,Excellent
06027,Inyo,California,6,5.616,4.4,5.533,5294,98.379,0.1,Excellent
06029,Kern,California,6,8.763,6.938,7.324,2587,63.7,0.042,Excellent
06031,Kings,California,6,11.308,9.2,8.065,1437,54.417,0.3,Excellent
06033,Lake,California,6,4.123,3.25,3.087,60,17.9,1.0,Good
06037,Los Angeles,California,6,10.186,9.5,5.712,4295,60.7,0.042,Excellent
