FIPS,County Name,State Name,State Code,PM25_Annual_Mean,PM25_Annual_Median,PM25_Std,PM25_Sample_Count,PM25_Annual_Max,PM25_Annual_Min,Data_Quality,Asthma_Prevalence,County_Name,State_Code,Asthma_CI_Lower,Asthma_CI_Upper,Population
01003,Baldwin,Alabama,1,7.691,6.9,4.114,681,29.2,0.4,Excellent,9.9,Baldwin,AL,8.7,11.3,246435
01027,Clay,Alabama,1,8.064,7.442,4.444,666,27.455,0.2,Excellent,11.1,Clay,AL,9.7,12.6,14198
01049,DeKalb,Alabama,1,8.938,8.3,4.738,715,26.838,0.6,Excellent,11.1,DeKalb,AL,9.7,12.5,71998
01055,Etowah,Alabama,1,9.843,9.375,4.896,699,31.0,0.8,Excellent,11.0,Etowah,AL,9.6,12.4,103088
01073,Jefferson,Alabama,1,10.017,9.179,4.862,2041,37.096,1.8,Excellent,10.6,Jefferson,AL,9.3,11.9,665409
01089,Madison,Alabama,1,8.916,7.796,4.949,1636,49.304,1.3,Excellent,10.1,Madison,AL,8.9,11.4,403565
01097,Mobile,Alabama,1,8.845,8.308,4.147,698,23.358,0.025,Excellent,10.9,Mobile,AL,9.7,12.3,411411
01101,Montgomery,Alabama,1,10.239,9.892,4.401,713,29.862,1.6,Excellent,11.5,Montgomery,AL,10.1,13.1,226361
01103,Morgan,Alabama,1,7.399,6.673,3.78,766,23.683,0.017,Excellent,10.3,Morgan,AL,9.1,11.6,124211
01113,Russell,Alabama,1,9.385,8.2,5.258,272,30.2,1.5,Excellent,11.6,Russell,AL,10.2,13.1,58555
01119,Sumter,Alabama,1,5.907,4.992,4.502,654,26.867,0.038,Excellent,12.1,Sumter,AL,10.6,13.8,11853
01125,Tuscaloosa,Alabama,1,8.069,7.4,4.525,670,25.783,0.1,Excellent,10.8,Tuscaloosa,AL,9.5,12.2,236780
02020,Anchorage ,Alaska,2,4.34,3.375,3.369,751,19.5,0.042,Excellent,10.2,Anchorage,AK,9.1,11.3,287145
02090,Fairbanks North Star ,Alaska,2,9.479,4.9,14.615,1275,156.2,0.1,Excellent,9.9,Fairbanks North Star,AK,8.8,11.1,95356
02110,Juneau ,Alaska,2,4.957,3.9,3.742,1513,23.567,0.3,Excellent,9.8,Juneau,AK,8.6,11.0,31685
02170,Matanuska-Susitna ,Alaska,2,4.381,2.7,4.652,658,35.833,0.083,Excellent,11.4,Matanuska-Susitna,AK,10.2,12.7,113325
04001,Apache,Arizona,4,2.684,2.5,1.268,107,6.0,0.5,Good,15.1,Apache,AZ,13.5,16.8,65432
04012,La Paz,Arizona,4,2.832,2.4,2.489,610,16.542,0.042,Excellent,11.5,La Paz,AZ,10.1,13.1,16506
04013,Maricopa,Arizona,4,7.981,6.421,5.85,6627,95.262,0.1,Excellent,10.2,Maricopa,AZ,9.2,11.2,4551524
04019,Pima,Arizona,4,6.383,6.0,2.798,2213,18.583,0.2,Excellent,10.4,Pima,AZ,9.3,11.6,1057597
04021,Pinal,Arizona,4,6.933,5.5,5.104,2054,53.304,0.027,Excellent,11.1,Pinal,AZ,9.8,12.3,464154
04023,Santa Cruz,Arizona,4,7.636,6.2,5.703,765,53.5,0.2,Excellent,9.9,Santa Cruz,AZ,8.6,11.3,48759
04027,Yuma,Arizona,4,7.996,6.8,5.996,704,60.292,0.8,Excellent,10.0,Yuma,AZ,8.8,11.2,207842
05001,Arkansas,Arkansas,5,8.656,8.0,4.621,120,24.9,1.1,Good,11.7,Arkansas,AR,10.3,13.3,16512
05003,Ashley,Arkansas,5,8.783,7.8,4.834,118,38.0,0.6,Good,11.5,Ashley,AR,10.2,13.1,18354
05035,Crittenden,Arkansas,5,8.792,8.4,3.91,121,19.9,2.4,Good,12.6,Crittenden,AR,11.2,14.2,47061
05051,Garland,Arkansas,5,8.898,8.5,4.025,127,17.8,1.0,Good,10.9,Garland,AR,9.6,12.4,100089
05067,Jackson,Arkansas,5,8.98,8.0,5.132,120,30.5,1.6,Good,11.7,Jackson,AR,10.3,13.2,16624
05113,Polk,Arkansas,5,8.765,8.35,4.502,120,31.1,1.2,Good,11.2,Polk,AR,9.8,12.7,19337
05119,Pulaski,Arkansas,5,11.219,9.641,6.579,1857,35.492,0.6,Excellent,10.8,Pulaski,AR,9.6,12.2,399145
05139,Union,Arkansas,5,9.829,9.1,4.79,119,35.9,3.0,Good,11.0,Union,AR,9.6,12.4,37752
05143,Washington,Arkansas,5,7.674,7.0,3.627,95,18.9,0.2,Good,10.7,Washington,AR,9.4,12.0,256054
06001,Alameda,California,6,7.036,5.8,4.884,3731,47.174,0.3,Excellent,8.9,Alameda,CA,7.9,10.1,1628997
06007,Butte,California,6,7.941,7.292,5.146,699,35.417,0.5,Excellent,10.7,Butte,CA,9.4,12.1,207303
06009,Calaveras,California,6,5.58,4.888,3.768,716,29.375,0.4,Excellent,10.8,Calaveras,CA,9.5,12.2,46563
06011,Colusa,California,6,9.816,9.704,5.332,1206,34.383,0.6,Excellent,10.6,Colusa,CA,9.3,12.0,21914
06013,Contra Costa,California,6,7.992,6.8,4.881,1549,39.375,0.4,Excellent,9.5,Contra Costa,CA,8.3,10.6,1156966
06019,Fresno,California,6,9.509,7.623,7.511,4368,51.375,0.017,Excellent,10.7,Fresno,CA,9.5,12.0,1015190
06023,Humboldt,California,6,13.222,7.042,25.465,415,224.542,0.5,Excellent,11.7,Humboldt,CA,10.3,13.2,135010
06025,Imperial,California,6,8.817,7.9,5.864,1965,64.57,0.1,Excellent,10.2,Imperial,CA,8.9,11.5,178713
06027,Inyo,California,6,5.616,4.4,5.533,5294,98.379,0.1,Excellent,10.6,Inyo,CA,9.3,11.9,18718
06029,Kern,California,6,8.763,6.938,7.324,2587,63.7,0.042,Excellent,10.4,Kern,CA,9.2,11.7,916108
06031,Kings,California,6,11.308,9.2,8.065,1437,54.417,0.3,Excellent,10.5,Kings,CA,9.2,11.8,152981
06033,Lake,California,6,4.123,3.25,3.087,60,17.9,1.0,Good,11.1,Lake,CA,9.8,12.5,68191
06037,Los Angeles,California,6,10.186,9.5,5.712,4295,60.7,0.042,Excellent,9.1,Los Angeles,CA,8.2,10.1,9721138
06039,Madera,California,6,9.949,8.888,6.042,724,36.958,1.0,Excellent,10.8,Madera,CA,9.6,12.2,160256
06041,Marin,California,6,5.41,4.4,4.178,713,34.75,0.2,Excellent,9.4,Marin,CA,8.3,10.6,256018
06045,Mendocino,California,6,9.71,8.6,6.172,1350,51.375,0.1,Excellent,10.8,Mendocino,CA,9.5,12.2,89783
06047,Merced,California,6,9.022,7.0,6.75,1445,38.575,0.1,Excellent,11.1,Merced,CA,9.7,12.5,290014
06051,Mono,California,6,3.723,3.238,2.909,1262,26.3,0.092,Excellent,10.2,Mono,CA,9.0,11.5,12978
06053,Monterey,California,6,5.506,4.875,3.892,2214,41.15,0.083,Excellent,10.4,Monterey,CA,9.2,11.8,432858
06057,Nevada,California,6,4.743,4.4,2.823,725,17.712,0.008,Excellent,11.0,Nevada,CA,9.7,12.4,102293
06059,Orange,California,6,9.791,9.2,5.559,1007,50.783,0.1,Excellent,9.0,Orange,CA,8.0,10.1,3151184
06061,Placer,California,6,6.68,5.9,4.207,1400,31.958,0.042,Excellent,10.2,Placer,CA,9.0,11.4,417772
06063,Plumas,California,6,9.567,6.0,8.612,1415,52.186,0.2,Excellent,10.7,Plumas,CA,9.4,12.1,19351
06065,Riverside,California,6,9.715,8.792,7.364,4687,111.596,0.042,Excellent,10.0,Riverside,CA,8.8,11.2,2473902
06067,Sacramento,California,6,7.545,6.0,5.497,4515,38.125,0.043,Excellent,10.9,Sacramento,CA,9.7,12.3,1584169
06069,San Benito,California,6,4.303,3.667,3.95,679,39.458,0.083,Excellent,9.8,San Benito,CA,8.6,11.1,67579
06071,San Bernardino,California,6,9.273,8.542,6.195,3356,108.354,0.083,Excellent,10.3,San Bernardino,CA,9.2,11.6,2193656
06073,San Diego,California,6,7.928,7.0,4.642,9615,40.775,0.5,Excellent,9.3,San Diego,CA,8.3,10.4,3276208
06075,San Francisco,California,6,5.272,4.7,3.022,430,16.75,0.1,Excellent,8.7,San Francisco,CA,7.7,9.8,808437
06077,San Joaquin,California,6,9.434,7.1,7.418,1374,40.625,0.004,Excellent,10.1,San Joaquin,CA,8.9,11.3,793229
06079,San Luis Obispo,California,6,5.109,4.2,4.311,2749,34.875,0.042,Excellent,10.3,San Luis Obispo,CA,9.0,11.6,282013
06081,San Mateo,California,6,8.103,7.292,4.793,691,41.083,0.083,Excellent,8.7,San Mateo,CA,7.7,9.8,729181
06083,Santa Barbara,California,6,5.679,5.1,3.731,2910,32.667,0.042,Excellent,9.9,Santa Barbara,CA,8.7,11.2,443837
06085,Santa Clara,California,6,6.755,5.5,5.236,2234,49.083,0.042,Excellent,8.5,Santa Clara,CA,7.5,9.5,1870945
06087,Santa Cruz,California,6,5.574,4.908,4.22,1370,47.417,0.043,Excellent,10.2,Santa Cruz,CA,9.0,11.5,264370
06089,Shasta,California,6,6.878,5.683,5.392,722,54.208,0.7,Excellent,11.2,Shasta,CA,9.9,12.6,180930
06093,Siskiyou,California,6,10.917,5.7,21.279,712,235.125,1.0,Excellent,11.4,Siskiyou,CA,10.0,12.8,43660
06095,Solano,California,6,6.193,4.888,4.487,1374,37.083,0.1,Excellent,10.0,Solano,CA,8.9,11.4,448747
06097,Sonoma,California,6,5.138,3.875,4.612,706,42.042,0.042,Excellent,10.3,Sonoma,CA,9.1,11.6,482650
